Application_ID,Plot_Area,Zone_Type,FSI_Allowed,FSI_Used,Floors,Building_Height,Front_Setback,Rear_Setback,Side_Setback,Parking_Spaces_Required,Parking_Spaces_Provided,Road_Width,Fire_NOC,Env_NOC,Traffic_NOC,Green_Area_Percentage,Zone_Compliance,Approval_Status,Rejection_Reasons
APP000001,960,Residential,2.5,2.32,19,41.89,3.13,4.1,3.67,37,34,8.31,1,1,1,4.21,1,0,ParkingDeficit
APP000002,3872,Residential,1.8,1.49,13,22.31,6.38,6.57,3.26,42,47,27.32,1,1,1,22.21,1,1,None
APP000003,3192,Mixed-use,1.0,0.71,14,35.03,3.15,3.87,4.52,13,22,16.89,1,0,1,36.28,1,0,MissingNOC
APP000004,566,Industrial,2.2,2.02,7,40.45,3.99,5.6,4.63,21,22,19.76,1,1,1,12.26,1,1,None
APP000005,4526,Residential,2.0,1.43,2,45.49,5.95,6.24,3.02,35,41,12.76,1,1,1,39.39,1,1,None
APP000006,3544,Commercial,1.2,1.16,14,15.29,6.49,4.36,3.47,37,35,12.56,1,1,1,9.97,1,0,ParkingDeficit
APP000007,3271,Industrial,2.2,2.0,17,10.62,2.0,1.64,1.64,22,19,17.81,1,1,1,18.89,1,0,"SetbackDeficit, ParkingDeficit"
APP000008,3019,Residential,1.0,0.91,13,10.61,6.02,6.23,5.19,20,22,14.54,1,1,1,13.72,1,1,None
APP000009,230,Residential,1.5,1.44,2,21.16,7.87,4.51,4.66,42,45,7.86,1,1,1,12.32,1,1,None
APP000010,1785,Residential,1.8,2.25,5,13.48,6.09,6.45,4.73,42,51,14.49,1,1,1,15.11,1,0,FSIExceeded
APP000011,869,Residential,1.5,1.66,4,34.46,3.23,3.91,3.87,44,46,12.11,1,1,1,1.3,0,0,"FSIExceeded, ZoningViolation"
APP000012,2491,Mixed-use,2.2,2.79,3,29.04,4.16,3.4,3.83,43,50,26.39,0,1,1,21.28,0,0,"FSIExceeded, MissingNOC, ZoningViolation"
APP000013,2533,Commercial,1.8,1.71,14,54.12,4.82,4.48,3.63,36,33,26.12,1,1,1,29.66,1,0,ParkingDeficit
APP000014,1284,Residential,1.0,0.76,11,44.46,7.68,5.59,4.83,9,19,9.4,1,1,1,34.55,1,1,None
APP000015,4655,Residential,2.0,2.18,8,16.32,6.65,3.65,4.14,23,29,23.52,1,1,1,12.97,1,0,FSIExceeded
APP000016,3485,Commercial,2.0,1.4,9,7.51,2.45,2.33,2.52,44,41,16.82,1,1,1,22.02,1,0,"SetbackDeficit, ParkingDeficit"
APP000017,4217,Industrial,3.0,2.58,16,44.0,6.88,3.92,3.1,39,45,26.84,1,1,1,35.71,1,1,None
APP000018,4943,Commercial,2.8,2.66,3,51.52,4.34,3.84,5.83,19,26,12.58,1,0,1,31.99,1,0,MissingNOC
APP000019,3004,Commercial,2.8,2.13,10,43.55,1.97,2.48,2.09,9,9,8.11,1,1,1,18.56,1,0,SetbackDeficit
APP000020,574,Residential,2.0,2.48,1,40.41,2.18,1.89,1.87,3,6,25.21,1,1,1,6.59,1,0,"FSIExceeded, SetbackDeficit"
APP000021,1182,Industrial,2.8,2.26,9,18.71,4.31,5.34,5.69,21,26,26.84,1,1,1,22.33,0,0,ZoningViolation
APP000022,2658,Commercial,2.5,1.83,16,32.2,4.1,6.99,4.53,6,7,26.17,1,1,1,39.59,1,1,None
APP000023,2147,Residential,1.0,1.14,9,44.87,3.24,3.44,4.88,43,44,13.9,1,1,1,30.3,1,0,FSIExceeded
APP000024,2847,Commercial,2.5,2.2,12,15.64,5.11,3.25,4.14,31,40,6.74,1,1,1,33.92,1,1,None
APP000025,1075,Residential,2.8,2.67,1,31.21,2.29,2.95,2.78,19,26,9.35,1,1,0,7.55,1,0,"SetbackDeficit, MissingNOC"
APP000026,1906,Residential,1.5,1.2,16,11.44,6.6,5.73,4.61,45,54,28.06,1,1,1,36.16,1,1,None
APP000027,289,Residential,3.0,2.21,8,34.19,6.2,3.45,4.3,24,26,14.74,1,1,1,0.56,1,1,None
APP000028,2834,Residential,2.8,2.67,14,36.54,7.77,6.5,3.79,3,12,27.12,1,1,1,34.49,1,1,None
APP000029,3105,Residential,1.2,1.09,14,34.45,3.89,6.65,5.61,43,45,29.54,1,1,1,9.56,1,1,None
APP000030,4758,Residential,2.2,1.82,10,30.82,6.19,5.44,3.46,45,49,15.5,1,1,1,24.91,1,1,None
APP000031,1999,Residential,1.8,1.58,1,37.31,5.7,6.11,4.59,38,47,24.63,1,1,1,11.72,1,1,None
APP000032,1367,Residential,1.5,1.69,6,59.82,4.62,3.08,5.79,43,42,10.06,1,1,1,5.41,1,0,"FSIExceeded, ParkingDeficit"
APP000033,1628,Residential,2.2,2.15,9,39.24,2.74,1.96,1.59,33,28,15.21,1,0,1,9.88,1,0,"SetbackDeficit, ParkingDeficit, MissingNOC"
APP000034,3302,Residential,3.0,2.14,19,46.39,2.91,1.63,2.22,2,4,22.92,0,1,1,18.92,1,0,"SetbackDeficit, MissingNOC"
APP000035,3656,Commercial,1.2,1.06,16,15.57,6.8,6.06,3.39,40,43,10.97,1,1,1,36.79,1,1,None
APP000036,3990,Residential,2.0,2.52,19,34.15,5.75,4.06,5.62,2,1,13.68,1,1,1,15.56,1,0,"FSIExceeded, ParkingDeficit"
APP000037,746,Residential,2.2,2.11,11,5.41,4.06,5.16,5.19,45,55,19.53,1,1,1,2.23,1,1,None
APP000038,2988,Industrial,1.8,1.27,11,6.73,4.56,6.98,4.95,32,39,22.59,1,1,0,0.95,1,0,MissingNOC
APP000039,2535,Commercial,2.5,2.12,14,22.74,5.59,3.48,3.67,40,43,14.57,1,1,1,8.39,1,1,None
APP000040,700,Industrial,1.2,1.1,7,30.66,5.94,3.92,3.66,9,15,15.04,1,1,1,2.08,1,1,None
APP000041,2463,Residential,2.5,2.17,12,36.66,6.16,3.92,5.72,4,4,8.64,1,1,1,14.85,1,1,None
APP000042,2161,Residential,1.2,1.02,20,53.84,1.61,1.85,2.5,48,55,29.62,1,1,1,15.37,1,0,SetbackDeficit
APP000043,341,Commercial,1.0,0.77,20,47.45,3.66,6.74,4.71,13,11,20.69,0,1,0,38.89,1,0,"ParkingDeficit, MissingNOC"
APP000044,2141,Residential,2.0,1.64,5,21.5,6.92,6.23,3.57,35,45,18.73,1,1,0,12.25,1,0,MissingNOC
APP000045,2924,Residential,1.2,0.98,1,45.89,5.16,4.69,4.4,26,29,11.07,1,1,1,23.96,1,1,None
APP000046,2712,Residential,2.8,2.8,11,35.22,6.37,6.94,3.3,37,42,17.71,1,1,1,32.75,1,1,None
